Species,ID,Model,Num_1,Num_0,Prevalence,Use,P_0,SD_0,P_1,SD_1,Crit_P1,Crit_Ave,Crit_1SD,Crit_2SD,Crit_P0,WA_SHAP,Slope_SHAP,Elev_SHAP,IWI_SHAP,BMMI_SHAP
Acantharchus pomotis,1,1,194,1812,0.097,Y,0.082,0.091,0.244,0.134,0.244,0.163,0.11,0.082,0.082,0.412337611,0.48888696,0.835136914,0.095242394,0.088061052
Acipenser fulvescens,3,2,45,11991,0.004,N,0.003,0.014,0.222,0.17,0.222,0.112,0.052,0.003,0.003,1.732103947,0.716777929,0.407387693,0.232088425,0.12476114
Alosa aestivalis,10,3,65,3870,0.017,N,0.013,0.035,0.233,0.166,0.233,0.123,0.067,0.013,0.013,0.86294635,1.024484854,0.392060052,0.110659182,0.188451454
Alosa chrysochloris,12,4,148,5335,0.027,N,0.013,0.044,0.537,0.351,0.537,0.275,0.186,0.013,0.013,2.203644591,0.100264514,0.308491604,0.203225794,0.106856897
Alosa pseudoharengus,14,5,78,10442,0.007,N,0.006,0.022,0.19,0.236,0.19,0.098,0.006,0.006,0.006,0.870634691,0.496741994,0.697468241,0.126005356,0.114456233
Alosa sapidissima,15,6,96,5736,0.016,N,0.013,0.038,0.228,0.196,0.228,0.121,0.033,0.013,0.013,1.270784278,0.389194321,0.383549621,0.132031605,0.227183054
Ambloplites ariommus,16,7,232,1320,0.149,Y,0.128,0.079,0.273,0.143,0.273,0.2,0.13,0.128,0.128,0.60163199,0.088428954,0.29987563,0.133180189,0.070812133
Ambloplites cavifrons,17,8,26,300,0.08,Y,0.055,0.065,0.359,0.232,0.353,0.204,0.123,0.056,0.056,0.858522186,0.201144109,0.343318361,0.106788689,0.046820783
Ambloplites constellatus,18,9,44,142,0.237,Y,0.132,0.106,0.566,0.252,0.566,0.349,0.313,0.132,0.132,0.727419082,0.345608768,0.734487268,0.168529731,0.056832259
Ambloplites rupestris,19,10,5719,24716,0.188,Y,0.134,0.142,0.423,0.204,0.423,0.278,0.219,0.134,0.134,0.974635579,0.444813326,0.363125935,0.181620819,0.180318557
Ameiurus brunneus,22,11,432,2675,0.139,Y,0.11,0.11,0.316,0.144,0.316,0.213,0.172,0.11,0.11,0.53364036,0.417151448,0.991144871,0.124189204,0.086915051
Ameiurus catus,23,12,272,7427,0.035,Y,0.025,0.055,0.308,0.242,0.308,0.167,0.066,0.025,0.025,0.882664653,0.753731579,0.661375733,0.114137877,0.144704915
Ameiurus melas,24,13,1453,20379,0.067,Y,0.059,0.054,0.172,0.125,0.172,0.115,0.059,0.059,0.059,0.30965995,0.622268068,0.40150604,0.191186525,0.171502025
Ameiurus natalis,25,14,3505,28581,0.109,Y,0.094,0.093,0.239,0.147,0.239,0.166,0.094,0.094,0.094,0.42417708,0.449521568,0.75546779,0.124751278,0.120687994
Ameiurus nebulosus,26,15,1733,29071,0.056,Y,0.051,0.044,0.154,0.153,0.154,0.102,0.051,0.051,0.051,0.427422297,0.232872548,0.48869381,0.162968358,0.121264229
Ameiurus platycephalus,27,16,401,3201,0.111,Y,0.078,0.117,0.375,0.174,0.375,0.226,0.202,0.078,0.078,1.26084223,0.532801856,0.925589252,0.206353331,0.11078729
Amia calva,29,17,564,16054,0.034,Y,0.023,0.053,0.348,0.303,0.348,0.185,0.045,0.023,0.023,0.591743339,1.217713332,1.143190637,0.18163207,0.145671412
Ammocrypta beani,30,18,42,454,0.085,Y,0.062,0.067,0.331,0.179,0.331,0.196,0.152,0.062,0.062,0.684745253,0.093305104,0.405665299,0.48745524,0.25278297
Ammocrypta bifascia,31,19,28,185,0.131,Y,0.108,0.079,0.278,0.107,0.278,0.193,0.172,0.108,0.108,0.557020205,0.37971024,0.036434592,0.105862917,0.278588804
Ammocrypta pellucida,34,20,49,2577,0.019,N,0.012,0.039,0.379,0.21,0.379,0.195,0.169,0.012,0.012,1.517931971,0.735307837,0.429101014,0.183466384,0.156142701
Ammocrypta vivax,35,21,35,959,0.035,Y,0.032,0.028,0.133,0.068,0.133,0.082,0.065,0.032,0.032,0.481557406,0.370729844,0.37310139,0.080735204,0.198809008
Anchoa mitchilli,38,22,51,330,0.134,Y,0.068,0.112,0.537,0.198,0.537,0.302,0.339,0.141,0.068,0.645950427,1.450373498,0.706273586,0.200013426,0.133235668
Anguilla rostrata,39,23,1856,18357,0.092,Y,0.057,0.091,0.433,0.253,0.433,0.245,0.18,0.057,0.057,0.654597181,0.64490784,1.62209228,0.432516559,0.20705038
Aphredoderus sayanus,41,24,1602,7701,0.172,Y,0.109,0.16,0.474,0.2,0.474,0.291,0.273,0.109,0.109,0.287789873,0.402567339,1.947014726,0.174544243,0.188359897
Aplodinotus grunniens,42,25,1239,17417,0.066,Y,0.042,0.087,0.406,0.272,0.406,0.224,0.134,0.042,0.042,1.603484065,0.647626079,0.526378167,0.160183533,0.081587127
Astyanax mexicanus,47,26,39,439,0.082,Y,0.041,0.067,0.532,0.231,0.532,0.287,0.301,0.071,0.041,1.395470992,0.312910218,0.560349158,0.120910166,0.338180836
Atractosteus spatula,48,27,223,3067,0.068,Y,0.052,0.066,0.289,0.198,0.289,0.17,0.091,0.052,0.052,0.380470619,0.426447879,0.802362529,0.206466803,0.208486878
Campostoma anomalum,51,28,6372,21484,0.229,Y,0.179,0.122,0.397,0.169,0.397,0.288,0.228,0.179,0.179,0.479767985,0.392233535,0.310891524,0.178565473,0.126681301
Campostoma oligolepis,52,29,1666,10455,0.137,Y,0.105,0.1,0.341,0.185,0.341,0.223,0.157,0.105,0.105,0.623983342,0.210655902,0.659607935,0.369702486,0.244137645
Campostoma pauciradii,54,30,134,463,0.224,Y,0.159,0.121,0.449,0.202,0.449,0.304,0.246,0.159,0.159,0.258617099,0.141993072,0.455628449,0.439334644,0.26914106
Campostoma spadiceum,55,31,129,370,0.259,Y,0.194,0.137,0.443,0.154,0.443,0.318,0.289,0.194,0.194,0.472041,0.321382605,0.487107928,0.513497392,0.282051431
Carassius auratus,56,32,152,14587,0.01,N,0.009,0.016,0.124,0.169,0.124,0.066,0.009,0.009,0.009,0.527960974,0.262072419,0.60121479,0.195967798,0.097070901
Carpiodes carpio,57,33,640,12548,0.049,Y,0.031,0.072,0.382,0.282,0.382,0.207,0.1,0.031,0.031,1.52611699,1.00096452,0.341026146,0.138109032,0.275961031
Carpiodes cyprinus,58,34,621,21181,0.028,N,0.021,0.055,0.283,0.204,0.283,0.152,0.079,0.021,0.021,1.730633463,0.601384266,0.377036909,0.143066289,0.106947882
Carpiodes velifer,61,35,111,10585,0.01,N,0.008,0.029,0.204,0.147,0.204,0.106,0.057,0.008,0.008,2.051163605,0.260431368,0.169926709,0.088952702,0.085707904
Catostomus ardens,62,36,35,582,0.057,Y,0.041,0.07,0.317,0.192,0.317,0.179,0.125,0.041,0.041,0.870576777,0.051097143,0.321779382,0.09533338,0.063019549
Catostomus catostomus,64,37,300,6848,0.042,Y,0.034,0.063,0.223,0.162,0.223,0.128,0.061,0.034,0.034,0.493377707,0.268192655,1.157140053,0.145740838,0.104123003
Catostomus clarkii,65,38,27,35,0.435,Y,0.333,0.125,0.572,0.121,0.572,0.453,0.451,0.333,0.333,0.153090225,0.090388084,0.130945487,0.05981315,0
Catostomus columbianus,66,39,46,207,0.182,Y,0.104,0.122,0.529,0.19,0.529,0.317,0.339,0.149,0.104,0.971262453,0.524825454,0.370402901,0.169084492,0.212615395
Catostomus commersonii,67,40,14907,18477,0.447,Y,0.32,0.221,0.604,0.164,0.604,0.462,0.44,0.32,0.32,0.50232809,0.420881756,0.519985731,0.1248059,0.116699518
Catostomus discobolus,68,41,60,912,0.062,Y,0.043,0.056,0.326,0.252,0.326,0.185,0.074,0.043,0.043,0.897820585,0.141549381,0.407298743,0.140590154,0.079008738
Catostomus latipinnis,71,42,95,637,0.13,Y,0.069,0.119,0.532,0.23,0.532,0.301,0.302,0.072,0.069,0.578388861,1.190641512,0.60115691,0.261017368,0.06666932
Catostomus macrocheilus,72,43,101,232,0.303,Y,0.13,0.146,0.699,0.264,0.699,0.415,0.435,0.171,0.13,0.989170227,0.823421077,0.235767027,0.189601998,0.209020203
Catostomus occidentalis,74,44,60,94,0.39,Y,0.212,0.185,0.667,0.187,0.667,0.439,0.48,0.293,0.212,0.824613988,0.493845627,0.124339916,0.128008255,0.106033932
Catostomus platyrhynchus,75,45,327,1979,0.142,Y,0.104,0.107,0.361,0.165,0.361,0.233,0.196,0.104,0.104,0.411582043,0.570384933,0.749270931,0.310920159,0.097855235
Centrarchus macropterus,86,46,353,3541,0.091,Y,0.075,0.089,0.244,0.156,0.244,0.159,0.087,0.075,0.075,0.161228395,0.427599576,0.913025991,0.102554256,0.086782924
Chrosomus cumberlandensis,96,47,82,580,0.124,Y,0.066,0.106,0.52,0.214,0.52,0.293,0.306,0.092,0.066,1.236122064,0.662458538,0.233603428,0.131452619,0.208674569
Chrosomus eos,97,48,1064,12155,0.08,Y,0.065,0.073,0.255,0.177,0.255,0.16,0.078,0.065,0.065,0.536075241,0.36226741,0.661482041,0.289176532,0.152678125
Chrosomus erythrogaster,98,49,1009,10896,0.085,Y,0.065,0.066,0.292,0.162,0.292,0.179,0.13,0.065,0.065,0.65941015,0.465615265,0.495106358,0.162219739,0.122290728
Chrosomus neogaeus,99,50,316,7925,0.038,Y,0.032,0.053,0.2,0.161,0.2,0.116,0.039,0.032,0.032,0.734570517,0.39699799,0.739243842,0.253474135,0.124333513
Chrosomus oreas,100,51,284,1859,0.133,Y,0.076,0.098,0.495,0.21,0.495,0.286,0.284,0.076,0.076,0.692145828,0.815986852,0.718264937,0.371538249,0.228657772
Clarias batrachus,107,52,35,44,0.443,Y,0.217,0.197,0.728,0.134,0.728,0.472,0.594,0.46,0.217,0.507279252,0.063811908,0.374865407,0.341650935,0.146584269
Clinostomus elongatus,109,53,1100,12816,0.079,Y,0.058,0.081,0.326,0.183,0.326,0.192,0.142,0.058,0.058,0.786637339,0.500428278,0.891423603,0.230217656,0.195654407
Clinostomus funduloides,110,54,1385,6073,0.186,Y,0.136,0.124,0.404,0.189,0.404,0.27,0.215,0.136,0.136,0.631592715,0.466136034,0.520702569,0.224861243,0.253243505
Cottus aleuticus,127,55,34,155,0.18,Y,0.157,0.067,0.283,0.107,0.283,0.22,0.176,0.157,0.157,0.185333825,0.085066769,0.451078613,0.267147789,0.051974287
Cottus asper,128,56,72,368,0.164,Y,0.127,0.104,0.335,0.154,0.335,0.231,0.181,0.127,0.127,0.347166221,0.535819385,0.215131124,0.051083839,0.154911723
Cottus bairdii,131,57,5218,20071,0.206,Y,0.15,0.121,0.422,0.178,0.422,0.286,0.244,0.15,0.15,0.482653045,0.388659629,0.577119982,0.221936495,0.161196749
Cottus beldingii,132,58,56,386,0.127,Y,0.115,0.037,0.186,0.054,0.186,0.15,0.132,0.115,0.115,0.55236311,0.300719296,0.127534066,0.215989912,0.124066158
Cottus caeruleomentum,134,59,207,1052,0.164,Y,0.126,0.098,0.355,0.172,0.355,0.24,0.183,0.126,0.126,0.276753684,0.29288565,0.410838698,0.1159078,0.102376323
Cottus carolinae,135,60,1352,4793,0.22,Y,0.157,0.158,0.444,0.184,0.444,0.301,0.26,0.157,0.157,0.503317432,0.504281183,1.117300547,0.138153189,0.178760816
Cottus chattahoochee,136,61,907,3245,0.218,Y,0.137,0.147,0.51,0.19,0.51,0.323,0.32,0.137,0.137,0.482572296,0.27695011,1.109857232,0.289238074,0.2468423
Cottus cognatus,137,62,1572,15385,0.093,Y,0.056,0.076,0.454,0.264,0.454,0.255,0.189,0.056,0.056,0.627406373,0.806628248,0.465477421,0.339712779,0.234876628
Cottus confusus,138,63,52,256,0.169,Y,0.099,0.093,0.509,0.219,0.509,0.304,0.289,0.099,0.099,0.478245929,0.072527488,0.264079752,0.24717867,0.129625407
Cottus girardi,141,64,95,993,0.087,Y,0.055,0.077,0.425,0.232,0.425,0.24,0.193,0.055,0.055,0.37710944,0.224747932,0.916282322,0.483339027,0.508207262
Cottus gulosus,143,65,41,204,0.167,Y,0.115,0.091,0.412,0.163,0.412,0.264,0.249,0.115,0.115,0.468118395,0.332970405,0.17663108,0.196513046,0.093772701
Cottus perplexus,151,66,118,75,0.611,Y,0.45,0.176,0.718,0.147,0.718,0.584,0.571,0.45,0.45,0.083128794,0.168567384,0.49732482,0.220979784,0.201482341
Cottus rhotheus,154,67,93,202,0.315,Y,0.227,0.137,0.503,0.164,0.503,0.365,0.339,0.227,0.227,0.324678563,0.21585505,0.697117102,0.209414918,0.218296051
Cottus tallapoosae,162,68,25,14,0.641,Y,0.497,0.121,0.735,0.064,0.735,0.616,0.671,0.607,0.497,0.033179422,0.011315714,0.022512528,0.027477329,0.037895412
Couesius plumbeus,164,69,65,4522,0.014,N,0.011,0.027,0.229,0.154,0.229,0.12,0.074,0.011,0.011,0.267945757,0.451214085,1.271388748,0.364457585,0.281779657
Ctenopharyngodon idella,173,70,85,9017,0.009,N,0.008,0.021,0.162,0.19,0.162,0.085,0.008,0.008,0.008,0.56379308,0.912231997,0.300737227,0.131202628,0.057452817
Culaea inconstans,174,71,3961,12738,0.237,Y,0.166,0.163,0.467,0.19,0.467,0.316,0.277,0.166,0.166,0.823582899,0.495716598,0.716536504,0.178378388,0.154074099
Cycleptus elongatus,175,72,84,8048,0.01,N,0.007,0.029,0.381,0.246,0.381,0.194,0.135,0.007,0.007,2.017865039,0.505179315,0.230408099,0.119642364,0.128307545
Cyprinella analostana,178,73,580,8600,0.063,Y,0.048,0.077,0.296,0.209,0.296,0.172,0.087,0.048,0.048,0.541594543,0.864232787,0.92352781,0.215607641,0.226546638
Cyprinella callisema,180,74,40,289,0.122,Y,0.093,0.068,0.324,0.18,0.324,0.209,0.144,0.093,0.093,0.72640762,0.092102402,0.358588083,0.098682916,0.316969665
Cyprinella callistia,181,75,248,385,0.392,Y,0.265,0.173,0.589,0.19,0.589,0.427,0.4,0.265,0.265,0.773596552,0.328710566,0.558996775,0.140898717,0.130991084
Cyprinella camura,183,76,49,816,0.057,Y,0.047,0.032,0.2,0.14,0.2,0.124,0.06,0.047,0.047,0.22827123,0.235168222,0.372445447,0.118507495,0.130098768
Cyprinella chloristia,184,77,94,321,0.227,Y,0.138,0.157,0.531,0.192,0.531,0.334,0.339,0.147,0.138,0.831632814,0.339776516,0.859826633,0.172649927,0.086161749
Cyprinella galactura,186,78,556,4143,0.118,Y,0.079,0.11,0.408,0.191,0.408,0.244,0.217,0.079,0.079,1.184556819,0.545817903,0.513338723,0.134140492,0.204312165
Cyprinella gibbsi,187,79,29,47,0.382,Y,0.171,0.166,0.727,0.174,0.727,0.449,0.553,0.379,0.171,0.046725253,0.084580342,0.891764181,0.081390972,0.455598384
Cyprinella labrosa,188,80,25,613,0.039,Y,0.026,0.051,0.351,0.214,0.351,0.188,0.136,0.026,0.026,0.97583729,0.279500353,0.511968337,0.072201655,0.021845182
Cyprinella leedsi,189,81,28,676,0.04,Y,0.017,0.05,0.569,0.269,0.569,0.293,0.3,0.031,0.017,0.544671683,0.054171435,1.011946417,0.146097072,0.147658026
Cyprinella lutrensis,191,82,1188,4000,0.229,Y,0.132,0.148,0.556,0.263,0.556,0.344,0.293,0.132,0.132,0.793948405,0.883245807,0.741012293,0.196882908,0.268966896
Cyprinella nivea,192,83,68,1119,0.057,Y,0.042,0.057,0.294,0.189,0.294,0.168,0.105,0.042,0.042,0.999913918,0.211025167,0.576436611,0.272995929,0.298129565
Cyprinella pyrrhomelas,194,84,80,605,0.117,Y,0.08,0.106,0.39,0.204,0.39,0.235,0.186,0.08,0.08,1.181365673,0.45407162,0.730277248,0.133022424,0.19339654
Cyprinella spiloptera,196,85,2063,25470,0.075,Y,0.055,0.08,0.321,0.224,0.321,0.188,0.097,0.055,0.055,0.925989595,0.510785982,0.711566863,0.174079206,0.183399945
Cyprinella trichroistia,197,86,150,373,0.287,Y,0.185,0.153,0.541,0.233,0.541,0.363,0.309,0.185,0.185,0.659312519,0.482794815,0.873135242,0.133256717,0.154628825
Cyprinella venusta,198,87,993,2276,0.304,Y,0.227,0.158,0.478,0.174,0.478,0.353,0.304,0.227,0.227,0.76782982,0.177602888,0.348957941,0.23932785,0.110133841
Cyprinella venusta cercostigma,199,88,57,205,0.218,Y,0.075,0.137,0.732,0.197,0.732,0.403,0.535,0.338,0.075,0.822086304,0.237717098,1.118069874,0.088952761,0.358500305
Cyprinella whipplei,200,89,356,4958,0.067,Y,0.054,0.068,0.248,0.189,0.248,0.151,0.059,0.054,0.054,0.981778645,0.141638209,0.570362282,0.195552612,0.153796893
Cyprinella zanema,202,90,27,434,0.059,Y,0.032,0.049,0.445,0.252,0.445,0.239,0.193,0.032,0.032,0.615448223,0.110370857,0.655513975,0.15213854,0.267905851
Cyprinodon rubrofluviatilis,213,91,85,170,0.333,Y,0.164,0.176,0.672,0.209,0.672,0.418,0.463,0.254,0.164,0.420944701,0.47253709,0.936729055,0.303406683,0.064393998
Cyprinus carpio,217,92,3283,31234,0.095,Y,0.067,0.099,0.365,0.239,0.365,0.216,0.126,0.067,0.067,1.005107119,0.806331652,0.416027891,0.200173453,0.152701298
Dorosoma cepedianum,227,93,1859,25097,0.069,Y,0.045,0.084,0.389,0.283,0.389,0.217,0.105,0.045,0.045,1.263964525,0.770554628,0.583860246,0.215768915,0.130814971
Dorosoma petenense,228,94,384,7583,0.048,Y,0.03,0.071,0.418,0.295,0.418,0.224,0.124,0.03,0.03,1.206064887,1.01415536,0.392768095,0.120453526,0.335946007
Elassoma zonatum,236,95,205,2778,0.069,Y,0.064,0.045,0.124,0.062,0.124,0.094,0.064,0.064,0.064,0.181804267,0.112629675,0.596276977,0.065379183,0.095868832
Enneacanthus gloriosus,242,96,388,5681,0.064,Y,0.039,0.087,0.426,0.253,0.426,0.233,0.173,0.039,0.039,0.203633153,0.788887519,1.366305264,0.25075639,0.138569448
Enneacanthus obesus,243,97,39,2336,0.016,N,0.011,0.026,0.291,0.219,0.291,0.151,0.072,0.011,0.011,0.463124357,0.491288051,1.491976071,0.272549559,0.42186576
Erimystax dissimilis,253,98,160,3629,0.042,Y,0.03,0.065,0.327,0.171,0.327,0.178,0.156,0.03,0.03,1.613550717,0.27024003,0.201704553,0.223671689,0.240037179
Erimystax insignis,255,99,61,2556,0.023,N,0.018,0.037,0.228,0.176,0.228,0.123,0.052,0.018,0.018,0.8945505,0.472819036,0.373087099,0.188424262,0.145616382
Erimystax x-punctatus,256,100,34,2718,0.012,N,0.008,0.033,0.365,0.2,0.365,0.186,0.165,0.008,0.008,1.523057218,0.671332074,0.628403079,0.100091556,0.219689669
Erimyzon oblongus,258,101,1347,12715,0.096,Y,0.07,0.106,0.34,0.204,0.34,0.205,0.136,0.07,0.07,0.556267984,0.509060323,1.172041591,0.111054522,0.202432532
Erimyzon sucetta,259,102,220,5971,0.036,Y,0.02,0.049,0.451,0.335,0.451,0.235,0.115,0.02,0.02,0.190375708,0.248798525,1.596069812,0.285034661,0.102620587
Erimyzon tenuis,260,103,32,442,0.068,Y,0.057,0.038,0.206,0.2,0.206,0.132,0.057,0.057,0.057,0.242559467,0.09576513,0.517866051,0.281254754,0.173914473
Esox americanus americanus,261,104,1583,16894,0.086,Y,0.065,0.098,0.307,0.211,0.307,0.186,0.097,0.065,0.065,0.287874121,0.448309782,1.252138609,0.194570425,0.135798946
Esox americanus vermiculatus,262,105,194,3128,0.058,Y,0.043,0.058,0.321,0.253,0.321,0.182,0.068,0.043,0.043,0.236545286,0.658618949,0.945115792,0.15552963,0.119507881
Esox lucius,263,106,1858,19039,0.089,Y,0.066,0.092,0.32,0.204,0.32,0.193,0.116,0.066,0.066,0.588791494,1.043153604,0.547689856,0.239016377,0.174181083
Esox masquinongy,265,107,362,18528,0.019,N,0.016,0.037,0.195,0.158,0.195,0.106,0.037,0.016,0.016,1.460254249,0.594022986,0.365047955,0.123520873,0.183451836
Esox niger,266,108,1398,14310,0.089,Y,0.065,0.082,0.333,0.262,0.333,0.199,0.071,0.065,0.065,0.332545853,0.522881818,0.697517639,0.166448775,0.184846457
Etheostoma artesiae,270,109,84,694,0.108,Y,0.081,0.075,0.319,0.151,0.319,0.2,0.168,0.081,0.081,0.525365037,0.307038256,0.626513715,0.346597709,0.224401125
Etheostoma asprigene,271,110,51,5515,0.009,N,0.008,0.017,0.116,0.157,0.116,0.062,0.008,0.008,0.008,0.335798911,0.347059163,0.458356778,0.12282053,0.079655235
Etheostoma atripinne,272,111,96,1039,0.085,Y,0.067,0.073,0.264,0.149,0.264,0.166,0.115,0.067,0.067,0.407625592,0.215915356,0.692766951,0.187649286,0.295150102
Etheostoma baileyi,273,112,179,697,0.204,Y,0.175,0.099,0.313,0.135,0.313,0.244,0.178,0.175,0.175,0.505473257,0.14851459,0.34441926,0.270295625,0.169544852
